Numero_de_Fila,Septima_Columna
0,500
1,503
2,504
3,508
4,504
5,506
6,505
7,527
8,575
9,583
10,446
11,355
12,369
13,475
14,555
15,563
16,560
17,558
18,553
19,549
20,546
21,545
22,543
23,543
24,544
25,551
26,550
27,552
28,557
29,557
30,552
31,546
32,536
33,528
34,514
35,502
36,491
37,486
38,479
39,479
40,480
41,482
42,483
43,487
44,489
45,496
46,496
47,497
48,500
49,500
50,504
51,508
52,511
53,513
54,515
55,515
56,513
57,513
58,510
59,510
60,508
61,504
62,504
63,507
64,512
65,508
66,513
67,506
68,496
69,493
70,492
71,488
72,489
73,491
74,491
75,489
76,487
77,486
78,490
79,491
80,514
81,571
82,524
83,392
84,325
85,358
86,476
87,537
88,536
89,535
90,531
91,527
92,518
93,520
94,518
95,519
96,518
97,521
98,525
99,532
100,536
101,539
102,536
103,532
104,523
105,513
106,496
107,477
108,461
109,448
110,443
111,441
112,445
113,449
114,455
115,462
116,469
117,479
118,483
119,487
120,493
121,496
122,499
123,505
124,509
125,509
126,508
127,508
128,509
129,509
130,509
131,512
132,513
133,513
134,516
135,519
136,519
137,524
138,527
139,529
140,533
141,526
142,519
143,521
144,519
145,514
146,516
147,518
148,519
149,520
150,518
151,519
152,520
153,528
154,560
155,616
156,518
157,408
158,364
159,426
160,543
161,575
162,575
163,571
164,566
165,563
166,560
167,556
168,557
169,556
170,553
171,553
172,554
173,557
174,559
175,558
176,554
177,550
178,540
179,524
180,507
181,488
182,473
183,463
184,456
185,458
186,461
187,466
188,472
189,475
190,482
191,486
192,491
193,493
194,495
195,498
196,500
197,502
198,505
199,504
200,503
201,502
202,503
203,501
204,503
205,505
206,505
207,508
208,511
209,516
210,521
211,520
212,522
213,513
214,509
215,508
216,502
217,501
218,501
219,502
220,502
221,505
222,506
223,507
224,509
225,520
226,556
227,606
228,493
229,391
230,360
231,423
232,536
233,563
234,560
235,557
236,552
237,548
238,544
239,543
240,542
241,543
242,545
243,543
244,547
245,551
246,551
247,550
248,547
249,538
250,523
251,509
252,490
253,470
254,456
255,448
256,446
257,448
258,451
259,456
260,463
261,471
262,476
263,481
264,484
265,488
266,491
267,493
268,496
269,497
270,503
271,504
272,504
273,508
274,508
275,508
276,508
277,509
278,509
279,507
280,511
281,512
282,508
283,513
284,509
285,504
286,505
287,503
288,502
289,505
290,509
291,510
292,513
293,515
294,516
295,517
296,528
297,564
298,617
299,506
300,401
301,368
302,427
303,542
304,566
305,564
306,559
307,556
308,550
309,549
310,548
311,547
312,544
313,544
314,546
315,549
316,551
317,552
318,554
319,552
320,542
321,532
322,516
323,500
324,481
325,467
326,458
327,452
328,450
329,452
330,455
331,465
332,472
333,479
334,484
335,489
336,491
337,494
338,496
339,498
340,499
341,499
342,499
343,499
344,501
345,502
346,500
347,502
348,503
349,506
350,511
351,515
352,513
353,520
354,515
